,date,open,high,low,close,adj_close,volume,symbol
0,2018-01-02,2683.72998046875,2695.88989257812,2682.36010742187,2695.81005859375,2695.81005859375,3397430000,^GSPC
1,2018-01-03,2697.85009765625,2714.3701171875,2697.77001953125,2713.06005859375,2713.06005859375,3544030000,^GSPC
2,2018-01-04,2719.31005859375,2729.2900390625,2719.07006835937,2723.98999023437,2723.98999023437,3697340000,^GSPC
3,2018-01-05,2731.330078125,2743.44995117187,2727.919921875,2743.14990234375,2743.14990234375,3239280000,^GSPC
4,2018-01-08,2742.669921875,2748.51000976563,2737.60009765625,2747.7099609375,2747.7099609375,3246160000,^GSPC
5,2018-01-09,2751.14990234375,2759.13989257812,2747.86010742188,2751.2900390625,2751.2900390625,3467460000,^GSPC
6,2018-01-10,2745.55004882812,2750.80004882812,2736.06005859375,2748.22998046875,2748.22998046875,3579900000,^GSPC
7,2018-01-11,2752.96997070313,2767.56005859375,2752.78002929688,2767.56005859375,2767.56005859375,3645690000,^GSPC
8,2018-01-12,2770.17993164062,2787.85009765625,2769.63989257812,2786.23999023437,2786.23999023437,3587220000,^GSPC
9,2018-01-16,2798.9599609375,2807.5400390625,2768.63989257812,2776.419921875,2776.419921875,4362880000,^GSPC
10,2018-01-17,2784.98999023437,2807.0400390625,2778.3798828125,2802.56005859375,2802.56005859375,3790340000,^GSPC
11,2018-01-18,2802.39990234375,2805.830078125,2792.56005859375,2798.03002929687,2798.03002929687,3703300000,^GSPC
12,2018-01-19,2802.60009765625,2810.330078125,2798.080078125,2810.30004882812,2810.30004882812,3724230000,^GSPC
13,2018-01-22,2809.15991210937,2833.03002929688,2808.1201171875,2832.96997070312,2832.96997070312,3489480000,^GSPC
14,2018-01-23,2835.05004882812,2842.23999023438,2830.59008789062,2839.1298828125,2839.1298828125,3541140000,^GSPC
15,2018-01-24,2845.419921875,2852.96997070312,2824.81005859375,2837.5400390625,2837.5400390625,4079270000,^GSPC
16,2018-01-25,2846.23999023438,2848.56005859375,2830.93994140625,2839.25,2839.25,3873100000,^GSPC
17,2018-01-26,2847.47998046875,2872.8701171875,2846.17993164062,2872.8701171875,2872.8701171875,3474680000,^GSPC
